
===== pirlnav  (1 runs) =====
[nnmlpp8l] autumn-night-1                 | finished  | step=1772 | met={"overfit_long/metrics/spl": 0.5414036512374878, "overfit_long/metrics/softspl": 0.5384412407875061, "overfit_long/metrics/success": 1} | cfg={}
[pks4nz5i] gen_sp_demos_s1of8             | finished  | step=9 | met={} | cfg={}
[q2ih4qvt] gen_sp_demos_s7of8             | finished  | step=9 | met={} | cfg={}
[qike7siy] gen_sp_demos_s3of8             | finished  | step=9 | met={} | cfg={}
[zt0stnjn] gen_sp_demos_s5of8             | finished  | step=9 | met={} | cfg={}
[ubx6746s] cm_sp_B_32res                  | finished  | step=256000 | met={"metrics/spl": 0.9409067514780406, "metrics/softspl": 0.929763381545608, "metrics/success": 1} | cfg={"NUM_UPDATES": 2000, "NUM_CHECKPOINTS": 3, "CHECKPOINT_FOLDER": "data/new_checkpoints/cm_sp_B_32", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[ur9r5gxc] il_rgb_sp                      | finished  | step=8000000 | met={"metrics/spl": 0.950917002918956, "metrics/softspl": 0.928477528331044, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_rgb_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[5fotvjdx] il_rgb_sp_eval                 | crashed   | step=None | met={} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_rgb_sp", "CHECKPOINT_INTERVAL": -1}
[j5srv9na] il_costmap_2ch_sp_eval         | crashed   | step=None | met={} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_costmap_2ch_sp", "CHECKPOINT_INTERVAL": -1
[sgkm6rwx] il_costmap_2ch_sp_eval         | crashed   | step=None | met={} | cfg={"NUM_UPDATES": 40000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints/il_costmap_2ch_sp", "CHECKPOINT_INTERVAL": -1
[qki5o5bc] il_costmap_2ch_sp              | crashed   | step=59840 | met={"metrics/spl": 0.94775222019596, "metrics/softspl": 0.9279259107389504, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[3bjngzup] il_costmap_2ch_sp              | finished  | step=473280 | met={"metrics/spl": 0.9539681246082558, "metrics/softspl": 0.9191270188820738, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[p3sto2xm] il_costmap_2ch_sp              | crashed   | step=38080 | met={"metrics/spl": 0.9492699434440632, "metrics/softspl": 0.9370395898172847, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
[8z0kcyer] il_rgb_sp_lr5e4                | finished  | step=8000000 | met={"metrics/spl": 0.9467649821993672, "metrics/softspl": 0.9349720628955696, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_rgb_sp_lr5e4", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1}
[bmbhxsir] il_costmap_2ch_sp              | crashed   | step=756480 | met={"metrics/spl": 0.9503647293453166, "metrics/softspl": 0.903174407878463, "metrics/success": 1} | cfg={"NUM_UPDATES": 25000, "NUM_CHECKPOINTS": 10, "CHECKPOINT_FOLDER": "data/new_checkpoints/il_costmap_2ch_sp", "EVAL_CKPT_PATH_DIR": "data/new_checkpoints", "CHECKPOINT_INTERVAL": -1
